[nm];[A];norm A
;Probe 1;
780;0,516;0,387882433
780,5;0,5113;0,384349395
781;0,5065;0,380741186
781,5;0,5019;0,37728332
782;0,4974;0,373900624
782,5;0,4927;0,370367586
783;0,4882;0,366984891
783,5;0,4838;0,363677366
784;0,4794;0,360369841
784,5;0,475;0,357062317
785;0,4705;0,353679621
785,5;0,466;0,350296926
786;0,4616;0,346989401
786,5;0,4573;0,343757047
787;0,4529;0,340449523
787,5;0,4487;0,33729234
788;0,4444;0,334059986
788,5;0,4402;0,330902804
789;0,4359;0,32767045
789,5;0,4318;0,324588439
790;0,4275;0,321356085
790,5;0,4234;0,318274074
791;0,4192;0,315116891
791,5;0,4151;0,312034879
792;0,411;0,308952868
792,5;0,4068;0,305795685
793;0,4028;0,302788845
793,5;0,3988;0,299782004
794;0,3947;0,296699992
794,5;0,3907;0,293693152
795;0,3868;0,290761482
795,5;0,3828;0,287754642
796;0,3789;0,284822972
796,5;0,3751;0,281966474
797;0,3713;0,279109975
797,5;0,3676;0,276328648
798;0,3638;0,273472149
798,5;0,3601;0,270690822
799;0,3564;0,267909494
799,5;0,3528;0,265203338
800;0,3492;0,262497181
800,5;0,3456;0,259791025
801;0,342;0,257084868
801,5;0,3385;0,254453883
802;0,335;0,251822897
802,5;0,3315;0,249191912
803;0,3281;0,246636097
803,5;0,3247;0,244080283
804;0,3214;0,241599639
804,5;0,318;0,239043825
805;0,3146;0,23648801
805,5;0,3113;0,234007367
806;0,3081;0,231601894
806,5;0,3048;0,229121251
807;0,3016;0,226715778
807,5;0,2984;0,224310306
808;0,2951;0,221829662
808,5;0,292;0,219499361
809;0,2889;0,21716906
809,5;0,2858;0,214838758
810;0,2828;0,212583628
810,5;0,2798;0,210328497
811;0,2768;0,208073367
811,5;0,2739;0,205893408
812;0,2711;0,203788619
812,5;0,2683;0,201683831
813;0,2654;0,199503871
813,5;0,2626;0,197399083
814;0,2598;0,195294295
814,5;0,2571;0,193264677
815;0,2543;0,191159889
815,5;0,2517;0,189205442
816;0,249;0,187175825
816,5;0,2464;0,185221379
817;0,2439;0,183342103
817,5;0,2413;0,181387657
818;0,2388;0,179508382
818,5;0,2363;0,177629106
819;0,2338;0,175749831
819,5;0,2313;0,173870556
820;0,2289;0,172066451
820,5;0,2264;0,170187176
821;0,224;0,168383071
821,5;0,2216;0,166578967
822;0,2193;0,164850034
822,5;0,217;0,163121101
823;0,2147;0,161392167
823,5;0,2125;0,159738405
824;0,2103;0,158084643
824,5;0,2082;0,156506051
825;0,2061;0,15492746
825,5;0,2041;0,15342404
826;0,202;0,151845448
826,5;0,2;0,150342028
827;0,198;0,148838608
827,5;0,196;0,147335188
828;0,1941;0,145906938
828,5;0,1921;0,144403518
829;0,1903;0,14305044
829,5;0,1884;0,14162219
830;0,1866;0,140269112
830,5;0,1848;0,138916034
831;0,1831;0,137638127
831,5;0,1814;0,136360219
832;0,1796;0,135007141
832,5;0,178;0,133804405
833;0,1762;0,132451327
833,5;0,1746;0,131248591
834;0,1729;0,129970683
834,5;0,1712;0,128692776
835;0,1696;0,12749004
835,5;0,1679;0,126212133
836;0,1663;0,125009396
836,5;0,1647;0,12380666
837;0,1631;0,122603924
837,5;0,1615;0,121401188
838;0,1599;0,120198451
838,5;0,1584;0,119070886
839;0,1569;0,117943321
839,5;0,1553;0,116740585
840;0,1538;0,11561302
840,5;0,1523;0,114485454
841;0,1508;0,113357889
841,5;0,1494;0,112305495
842;0,1479;0,11117793
842,5;0,1464;0,110050365
843;0,145;0,10899797
