Multi Scans

Labels,Em25,Em-190,Em-78,Em100,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,420.00,420.00,420.00,420.00,
Stop,700.00,700.00,700.00,700.00,
Step,1.00,1.00,1.00,1.00,
Fixed/Offset,395.00,395.00,395.00,395.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,0.7499790,0.7499790,0.7499790,0.7499790,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,0.99998826,0.99998826,0.99998826,0.99998826,
Detector,PMT980,PMT980,PMT980,PMT980,

684.00,8.68061621E+3,2.36120684E+4,1.79796406E+4,5.39089258E+3,
685.00,8.21218457E+3,2.36544238E+4,1.86093574E+4,4.41604199E+3,
686.00,8.37011523E+3,1.98752832E+4,1.71755273E+4,5.54651123E+3,
687.00,7.61002197E+3,2.10839785E+4,1.62735000E+4,4.84459277E+3,
688.00,7.71764746E+3,1.91443262E+4,1.62610029E+4,4.59201318E+3,
689.00,7.61204248E+3,1.85356797E+4,1.84817969E+4,6.03718311E+3,
690.00,6.38767725E+3,1.78161543E+4,1.50886445E+4,4.49002295E+3,
691.00,8.00677100E+3,1.72069004E+4,1.47438691E+4,5.85677246E+3,
692.00,6.16146045E+3,1.61404922E+4,1.45789395E+4,4.72976074E+3,
693.00,7.52936572E+3,1.60614199E+4,1.39154648E+4,4.98028174E+3,
694.00,5.67247998E+3,1.44132920E+4,1.59919648E+4,3.83323682E+3,
695.00,6.00022217E+3,1.36657549E+4,1.20096367E+4,5.56491699E+3,
696.00,6.56849365E+3,1.30174941E+4,1.28145352E+4,4.35260693E+3,
697.00,5.46721973E+3,1.36909219E+4,1.21373975E+4,4.22078027E+3,
698.00,6.31208545E+3,1.07161904E+4,1.13897119E+4,4.41044189E+3,
699.00,6.07615527E+3,1.09151484E+4,1.01153125E+4,4.03494189E+3,
700.00,5.77061426E+3,1.01957119E+4,1.00888223E+4,4.08023291E+3,
